region,arm,radius_km,regret_gbp,rho_pointwise,rho_aggregate,cost_mae_gbp
TLC2,SMOOTH-2,10.0,24791415.326660164,0.7367722924795006,0.7332404291684196,11568245.380116856
TLC2,PERM-R/3,10.0,1818886.7304687544,0.9630218455846421,0.9993832551962671,3602362.0708923424
TLC2,REF,20.0,33751.54614257892,1.0,1.0,4394067.288611121
TLC2,LU,20.0,33751.54614257892,0.5955743370730353,0.9343241331937483,11771258.488948
TLC2,GNN,20.0,33751.54614257892,0.3103027725680091,0.9468653960621144,8418971.617794544
TLC2,PERM-R,20.0,33751.54614257892,0.7425984039497754,0.9856602031097115,12872657.732549887
TLC2,PERM-3R,20.0,4235076.235839845,0.5226703263774615,0.9331511594825614,33559819.18254667
TLC2,SMOOTH-0.5,20.0,0.0,0.9008436117824428,0.94219043094923,8448939.25182428
TLC2,SMOOTH-1,20.0,0.0,0.8688522744204582,0.8883390086835089,5357541.493442681
TLC2,SMOOTH-2,20.0,0.0,0.9153033304435145,0.955413303364008,7514617.422998992
TLC2,PERM-R/3,20.0,0.0,0.9250735110980605,0.9994712134301034,5046461.282382984
TLD6,REF,10.0,2360241.784309253,1.0,1.0,4166441.409636442
TLD6,LU,10.0,15012664.799410798,-0.027406626750319397,0.4991062217765554,13542847.412164172
TLD6,GNN,10.0,12555129.054517366,0.11795036417781887,0.9156596979149243,7982274.585485671
TLD6,PERM-R,10.0,3637141.3702388257,0.5392363308636839,0.9548436077109019,7299159.935008034
TLD6,PERM-3R,10.0,1806622.579185374,0.14171452873813384,0.5194962353740588,14691045.601580903
TLD6,SMOOTH-0.5,10.0,81768.09530608356,0.9289897992837067,0.8401895055473764,11885960.80652012
TLD6,SMOOTH-1,10.0,354020.35471304506,0.48420355961607175,0.5919190524797632,22995147.792999323
TLD6,SMOOTH-2,10.0,667146.8143945709,0.47805104460233494,0.3414169783542446,25429953.69544168
TLD6,PERM-R/3,10.0,1479149.6963567361,0.8236965284269337,0.9974185068546269,4565487.322078493
TLD6,REF,20.0,5569260.486678751,1.0,1.0,3573756.384110051
TLD6,LU,20.0,18268005.19697584,-0.027406626750319397,0.9210665932666484,10869881.243544802
TLD6,GNN,20.0,1624976.7571379025,0.11795036417781887,0.9787634536908633,8982367.903126959
TLD6,PERM-R,20.0,15431879.549417745,0.3143373893310551,0.9450108982527246,9913691.047713863
TLD6,PERM-3R,20.0,10038980.910003912,0.03759879377571356,0.8258751339687834,18749531.922368784
TLD6,SMOOTH-0.5,20.0,7783383.826290089,0.9820628953144701,0.9887818256954564,5868149.925854446
TLD6,SMOOTH-1,20.0,51013525.859506354,0.8524891456565536,0.5896855609213901,40074800.45954347
TLD6,SMOOTH-2,20.0,63046302.81176259,0.7640176583893349,0.36260237465059364,58102403.65733023
TLD6,PERM-R/3,20.0,7106486.942981703,0.6663681373931158,0.9963688875922219,4954532.967232889
TLG1,REF,10.0,4722307.366180718,1.0,1.0,5021910.03467929
TLG1,LU,10.0,5504716.049271092,0.41705695349362704,0.6955824481564555,11879832.627998982
TLG1,GNN,10.0,5316686.707725897,0.038182695253489315,0.8747189186797296,7678469.5952200405
TLG1,PERM-R,10.0,4065363.0246355534,0.6801500377490846,0.9854582208645551,6166492.56506785
TLG1,PERM-3R,10.0,6964374.732361436,0.3690542644928925,0.8439169314792327,9596829.349764256
TLG1,SMOOTH-0.5,10.0,7357824.732361436,0.975035144615772,0.9786509626627407,5920379.324487264
TLG1,SMOOTH-1,10.0,1339020.0,0.7733096297498772,0.8530254617563655,10256812.326944936
TLG1,SMOOTH-2,10.0,8443909.073906615,0.4420467471363874,0.4520376050094012,21014099.426321927
TLG1,PERM-R/3,10.0,4545947.695408136,0.8769713756544081,0.999418436354609,5164300.986335548
TLG1,REF,20.0,2318189.6707725897,1.0,1.0,6944079.651635107
TLG1,LU,20.0,3592972.0369533114,0.41705695349362704,0.8460513600128401,18032670.858658247
TLG1,GNN,20.0,4237912.366180722,0.038182695253489315,0.9369211097302775,11750442.556257902
TLG1,PERM-R,20.0,3305314.3415451758,0.49797542744310364,0.9801464465366116,10673678.35503172
TLG1,PERM-3R,20.0,4296452.036953304,0.263198076865948,0.9266912361728089,14188338.786006268
TLG1,SMOOTH-0.5,20.0,11972669.012317766,0.9211525018409531,0.8192894618223654,19261227.035428222
TLG1,SMOOTH-1,20.0,11198263.621501517,0.9316901265951405,0.9187492876873218,23490971.71262335
TLG1,SMOOTH-2,20.0,40504172.0369533,0.8349465452665167,0.8652857778214443,32513403.08609579
TLG1,PERM-R/3,20.0,2248899.9999999963,0.7757779204886908,0.9964816726204181,7875698.789074462
TLG2,REF,10.0,5410475.0,1.0,1.0,5041450.8716257345
TLG2,LU,10.0,3972125.0,0.4628830753269911,0.772501336125334,11776157.469023868
TLG2,GNN,10.0,2835205.0,0.1949554314201844,0.9445048401262099,6246218.645648122
TLG2,PERM-R,10.0,5914435.0,0.6714222629100859,0.980476935619234,6853513.77216355
TLG2,PERM-3R,10.0,11935510.0,0.37432271151592733,0.7796905274226318,13058729.69200752
TLG2,SMOOTH-0.5,10.0,9975785.0,0.9712169447205536,0.9723501450875364,6465416.983402131
TLG2,SMOOTH-1,10.0,1484145.0,0.9125252034449134,0.8834626368656592,12713064.82761398
TLG2,SMOOTH-2,10.0,11102384.999999985,0.6634311911610046,0.6412616608154152,22221088.359884806
TLG2,PERM-R/3,10.0,4649590.0,0.8584589396875685,0.9989843437460858,5233361.514061225
TLG2,REF,20.0,1851424.6707725879,1.0,1.0,4909450.642041771
TLG2,LU,20.0,29373407.036953308,0.4628830753269911,0.887329528332382,15689617.369988605
TLG2,GNN,20.0,12495644.67077258,0.1949554314201844,0.9732698508174625,7748354.7358771525
TLG2,PERM-R,20.0,14195279.341545166,0.4023381703271372,0.9591307662826916,10946770.516707366
TLG2,PERM-3R,20.0,18770252.036953315,0.22592157446496794,0.8960734880183719,16081186.212214086
TLG2,SMOOTH-0.5,20.0,13170613.024635525,0.9889381944573805,0.9670640822660206,8915160.946292752
TLG2,SMOOTH-1,20.0,31658780.37445064,0.882365834510227,0.9002459460614866,25927592.855323598
TLG2,SMOOTH-2,20.0,40006613.74467919,0.4747792823057283,0.2986879931719983,48158994.38128898
TLG2,PERM-R/3,20.0,4701464.670772586,0.72131967449959,0.9970547357636839,6069096.336485947
TLE4,REF,10.0,3652255.3958740295,1.0,1.0,4191026.2689047977
TLE4,LU,10.0,41753777.97875977,0.1923610434176598,0.7708503427125856,22624442.24378161
TLE4,GNN,10.0,17358701.457397483,0.1981891871129961,0.9747399291849822,10670181.37505546
TLE4,PERM-R,10.0,6119476.920166022,0.46347102750158065,0.9832710628177657,9563896.31400094
TLE4,PERM-3R,10.0,20360879.787841816,0.2731069251837905,0.9200778335194584,17018594.962621544
TLE4,SMOOTH-0.5,10.0,24015965.194702134,0.9754973401144554,0.9746356926589232,10832583.757538775
TLE4,SMOOTH-1,10.0,16410938.662109386,0.6881286679899383,0.5962509545627386,28124705.854702387
TLE4,SMOOTH-2,10.0,59507378.23486328,0.2583264782675412,0.25478924019731003,57475441.29951721
TLE4,PERM-R/3,10.0,5041299.528808603,0.8029216851468369,0.9995799473949868,4691195.645249335
TLE4,REF,20.0,256192.98693847665,1.0,1.0,768607.0725312367
