region,mode,method,weight_source,solver,eval_weight,k,WSD,LWFL,LBI,DCR_1km,DCR_2km,DCR_5km,D_region_mva,low_conf_frac,match_dist_median_km,n_matched,TUR_mean,TUR_median,TUR_aggregate,CE_mean,CE_median,OPR,UPR,RSD_mean,RSD_median,FCE_mean,FCE_median,TUR_actual_observed,collision_rate_many_to_one
TLH3,a1a,LU,gpm,greedy,gpm_soft,97,2.33948508456675,2.33948508456675,0.30588365579591437,0.12264027802645379,0.3961415968339277,0.9948397141919381,,,,,,,,,,,,,,,,,
TLH3,a1a,LU,gpm,greedy,SIZING,97,,,,,,,1126.53606,0.0,2.791255827973923,97.0,71.0811729651668,54.302679547163066,68.57457777842161,100.15965995587946,84.15297520106316,0.4020618556701031,0.13402061855670103,49.207500803131545,37.459160338357606,87.28656094768108,66.20874372312508,93.24,
TLH3,a1a,LU,gpm,greedy,SIZING_1TO1,97,,,,,,,1126.53606,0.10309278350515463,4.270708604611851,87.0,67.88899906235409,57.66763794280529,63.92939932827204,98.06740953251074,73.88856751089946,0.41379310344827586,0.09195402298850575,45.52415984593186,35.15007260486443,83.80103285345726,63.650473662016594,93.02,0.26804123711340205
TLH3,a1a,LU-soft,gpm_soft,greedy,real,97,2.4415085225361555,2.4415085225361555,0.6433026484905018,0.09743718878351046,0.3677349278779996,0.9853211194060603,,,,,,,,,,,,,,,,,
TLH3,a1a,LU-soft,gpm_soft,greedy,uniform,97,2.437154271182704,2.437154271182704,0.29710245620828907,0.09921862227735259,0.3629890917472831,0.9879459875449226,,,,,,,,,,,,,,,,,
TLH3,a1a,LU-soft,gpm_soft,greedy,gpm,97,2.359606361014622,2.359606361014622,0.2938867301907183,0.11843243755469121,0.3954271414970913,0.9885260614579064,,,,,,,,,,,,,,,,,
TLH3,a1a,LU-soft,gpm_soft,greedy,gpm_soft,97,2.2745513073499977,2.2745513073499977,0.2589796110543742,0.13730276613954379,0.41853949046709965,0.9934772220698258,,,,,,,,,,,,,,,,,
TLH3,a1a,LU-soft,gpm_soft,greedy,SIZING,97,,,,,,,1126.53606,0.0,2.9612866310719035,97.0,69.60993992325416,60.317198492348645,65.01130317420404,104.38265925044763,72.95323832325047,0.3711340206185567,0.13402061855670103,53.91877025432633,34.225047066259904,90.89472999109397,56.923125315126946,92.9,
TLH3,a1a,LU-soft,gpm_soft,greedy,SIZING_1TO1,97,,,,,,,1126.53606,0.1134020618556701,4.583728815042101,86.0,71.93831677710033,55.467600538288934,66.50731512100757,98.42234937085297,80.83906382257376,0.36046511627906974,0.11627906976744186,47.689349433694694,31.0017695042918,84.72919831387463,67.15807484573726,93.325,0.27835051546391754
TLH3,a1a,GNN-oof-42,gnn_oof_42,greedy,real,97,2.453433752224894,2.453433752224894,0.5228314392116122,0.11636584816199252,0.4207940413060356,0.9510946058180558,,,,,,,,,,,,,,,,,
TLH3,a1a,GNN-oof-42,gnn_oof_42,greedy,uniform,97,2.7247880739881833,2.7247880739881833,0.44932825388639663,0.09600388817293509,0.3488907267512304,0.92196111438638,,,,,,,,,,,,,,,,,
TLH3,a1a,GNN-oof-42,gnn_oof_42,greedy,gpm,97,2.6429812905070156,2.6429812905070156,0.40685660577955174,0.11164133758238276,0.3817411899440081,0.9222997736238954,,,,,,,,,,,,,,,,,
TLH3,a1a,GNN-oof-42,gnn_oof_42,greedy,gpm_soft,97,2.76047376275513,2.76047376275513,0.5426507128797142,0.09287882378049214,0.3451311380133286,0.914329686607247,,,,,,,,,,,,,,,,,
TLH3,a1a,GNN-oof-42,gnn_oof_42,greedy,SIZING,97,,,,,,,1126.53606,0.0,2.0807771669318877,97.0,79.03107212765478,61.42647780832182,67.30877719676957,101.51048051602812,67.63820529517545,0.35051546391752575,0.1958762886597938,55.082568094117896,43.0057275540792,88.45522087569613,56.40314773695424,92.9,
TLH3,a1a,GNN-oof-42,gnn_oof_42,greedy,SIZING_1TO1,97,,,,,,,1126.53606,0.061855670103092786,3.3525093890597484,91.0,75.73912445761793,59.55786772646752,65.40743264759979,92.74025074097227,67.90392909845563,0.34065934065934067,0.16483516483516483,47.87410892387181,33.85558288644106,81.31972624797446,59.46760673165132,93.24,0.20618556701030927
TLH3,a1a,GNN-oof-123,gnn_oof_123,greedy,real,97,2.5571140543895807,2.5571140543895807,0.5074619192203006,0.12732618062845766,0.41729374885038983,0.9275948182231177,,,,,,,,,,,,,,,,,
TLH3,a1a,GNN-oof-123,gnn_oof_123,greedy,uniform,97,2.7928265078962498,2.7928265078962498,0.4716635021939628,0.09932461513378509,0.34350160822390774,0.9116063823978039,,,,,,,,,,,,,,,,,
TLH3,a1a,GNN-oof-123,gnn_oof_123,greedy,gpm,97,2.6839382445285858,2.6839382445285858,0.41244067301053183,0.12347728935028818,0.3890134502129636,0.9130821830556228,,,,,,,,,,,,,,,,,
TLH3,a1a,GNN-oof-123,gnn_oof_123,greedy,gpm_soft,97,2.782055550570079,2.782055550570079,0.5563506455736785,0.11540393366947575,0.3622326462859317,0.9026850637680237,,,,,,,,,,,,,,,,,
TLH3,a1a,GNN-oof-123,gnn_oof_123,greedy,SIZING,97,,,,,,,1126.53606,0.0,2.019887375768731,97.0,78.42351984438072,64.39991237689026,70.9935818654576,91.80781840307456,58.73611576809551,0.32989690721649484,0.20618556701030927,50.182784043425656,38.43784526415616,81.05870249450277,50.29130368176487,93.24,
TLH3,a1a,GNN-oof-123,gnn_oof_123,greedy,SIZING_1TO1,97,,,,,,,1126.53606,0.041237113402061855,2.5781525645337484,93.0,76.23502690463033,64.39991237689026,66.42433965055633,98.4892890767367,60.732821755149246,0.34408602150537637,0.20430107526881722,54.11873729953844,37.08074964938147,85.83455169104474,49.9759554345347,93.02,0.1958762886597938
TLH3,a1a,GNN-oof-456,gnn_oof_456,greedy,real,97,2.5104668068133336,2.5104668068133336,0.5266077331981035,0.11989794492462302,0.4123830399712012,0.9396333215795776,,,,,,,,,,,,,,,,,
TLH3,a1a,GNN-oof-456,gnn_oof_456,greedy,uniform,97,2.776029185649379,2.776029185649379,0.4757487926475463,0.09797118483861329,0.3446480342703752,0.9087851505948303,,,,,,,,,,,,,,,,,
TLH3,a1a,GNN-oof-456,gnn_oof_456,greedy,gpm,97,2.6917166280554468,2.6917166280554468,0.4348017486934291,0.118582252013789,0.38236170851065354,0.9097417899378142,,,,,,,,,,,,,,,,,
TLH3,a1a,GNN-oof-456,gnn_oof_456,greedy,gpm_soft,97,2.7949732590773797,2.7949732590773797,0.5470491570988583,0.10932748303647134,0.3520781037984192,0.8993248864246072,,,,,,,,,,,,,,,,,
TLH3,a1a,GNN-oof-456,gnn_oof_456,greedy,SIZING,97,,,,,,,1126.53606,0.0,2.1976387081518793,97.0,81.00414089951688,59.31166173270371,68.58276630162496,96.28905612589463,73.66967404112084,0.3711340206185567,0.2268041237113402,52.55742383601724,41.90145987696774,84.56133563420279,60.62635859249394,93.24,
