region,arm,radius_km,dc_mw,cost_mae_gbp
TLJ1,Ref,5.0,100.0,3470916.5815184647
TLJ1,GNN-oof-42,5.0,100.0,4517555.261985904
TLJ1,GNN-oof-123,5.0,100.0,4701957.51007184
TLJ1,GNN-oof-456,5.0,100.0,4992339.342898611
TLJ1,Uni,5.0,300.0,9537287.404471321
TLJ1,LU,5.0,300.0,9066786.434498252
TLJ1,LU-soft,5.0,300.0,7298767.219462568
TLJ1,Ref,5.0,300.0,3952275.325258883
TLJ1,GNN-oof-42,5.0,300.0,5429797.811915188
TLJ1,GNN-oof-123,5.0,300.0,5562052.277281588
TLJ1,GNN-oof-456,5.0,300.0,6190787.255376019
TLJ1,Uni,5.0,500.0,9537287.404471321
TLJ1,LU,5.0,500.0,9066786.434498252
TLJ1,LU-soft,5.0,500.0,7298767.219462568
TLJ1,Ref,5.0,500.0,3952275.3252588836
TLJ1,GNN-oof-42,5.0,500.0,5429797.811915188
TLJ1,GNN-oof-123,5.0,500.0,5562052.277281588
TLJ1,GNN-oof-456,5.0,500.0,6190787.255376019
TLJ1,Uni,10.0,100.0,11375126.896070747
TLJ1,LU,10.0,100.0,11155712.147553183
TLJ1,LU-soft,10.0,100.0,8521403.37239141
TLJ1,Ref,10.0,100.0,3280479.838995324
TLJ1,GNN-oof-42,10.0,100.0,6169490.409571976
TLJ1,GNN-oof-123,10.0,100.0,6373574.36365873
TLJ1,GNN-oof-456,10.0,100.0,8069770.079653258
TLJ1,Uni,10.0,300.0,22918174.738180563
TLJ1,LU,10.0,300.0,22291277.306721747
TLJ1,LU-soft,10.0,300.0,16069741.920767196
TLJ1,Ref,10.0,300.0,5427588.562490367
TLJ1,GNN-oof-42,10.0,300.0,11230527.048853595
TLJ1,GNN-oof-123,10.0,300.0,11529540.038512794
TLJ1,GNN-oof-456,10.0,300.0,14960575.04585548
TLJ1,Uni,10.0,500.0,23663473.98460131
TLJ1,LU,10.0,500.0,23047432.33305745
TLJ1,LU-soft,10.0,500.0,16276837.941748492
TLJ1,Ref,10.0,500.0,5427588.562490366
TLJ1,GNN-oof-42,10.0,500.0,11237764.462073369
TLJ1,GNN-oof-123,10.0,500.0,11529540.038512794
TLJ1,GNN-oof-456,10.0,500.0,15041513.280440686
TLJ1,Uni,20.0,100.0,15029951.017394733
TLJ1,LU,20.0,100.0,14351953.98339395
TLJ1,LU-soft,20.0,100.0,6839354.02315629
TLJ1,Ref,20.0,100.0,1276042.2196466308
TLJ1,GNN-oof-42,20.0,100.0,5819460.995131891
TLJ1,GNN-oof-123,20.0,100.0,5484802.829622662
TLJ1,GNN-oof-456,20.0,100.0,9417275.453585245
TLJ1,Uni,20.0,300.0,25983607.969873298
TLJ1,LU,20.0,300.0,25579709.84512126
TLJ1,LU-soft,20.0,300.0,17340869.39041427
TLJ1,Ref,20.0,300.0,5253623.123043638
TLJ1,GNN-oof-42,20.0,300.0,14642579.896678168
TLJ1,GNN-oof-123,20.0,300.0,14417280.480154544
TLJ1,GNN-oof-456,20.0,300.0,19469599.59891339
TLJ1,Uni,20.0,500.0,38982104.29985657
TLJ1,LU,20.0,500.0,38561157.37281598
TLJ1,LU-soft,20.0,500.0,26263461.51875016
TLJ1,Ref,20.0,500.0,6450126.715131047
TLJ1,GNN-oof-42,20.0,500.0,20029999.108797822
TLJ1,GNN-oof-123,20.0,500.0,19625729.663901124
TLJ1,GNN-oof-456,20.0,500.0,28089705.91969523
TLF1,Uni,5.0,100.0,7137069.663920891
TLF1,LU,5.0,100.0,7197830.2457493115
TLF1,LU-soft,5.0,100.0,6718817.8686521
TLF1,Ref,5.0,100.0,3840210.0810637027
TLF1,GNN-oof-42,5.0,100.0,4962351.5802457575
TLF1,GNN-oof-123,5.0,100.0,4410726.995768715
TLF1,GNN-oof-456,5.0,100.0,4739822.9695997
TLF1,Uni,5.0,300.0,7935885.639678624
TLF1,LU,5.0,300.0,7980188.999207834
TLF1,LU-soft,5.0,300.0,7399088.000767536
TLF1,Ref,5.0,300.0,3995143.421175531
TLF1,GNN-oof-42,5.0,300.0,5203476.674905798
TLF1,GNN-oof-123,5.0,300.0,4621511.711224281
TLF1,GNN-oof-456,5.0,300.0,4960156.007969545
TLF1,Uni,5.0,500.0,7935885.6396786235
TLF1,LU,5.0,500.0,7980188.999207834
TLF1,LU-soft,5.0,500.0,7399088.000767536
TLF1,Ref,5.0,500.0,3995143.4211755316
TLF1,GNN-oof-42,5.0,500.0,5203476.674905798
TLF1,GNN-oof-123,5.0,500.0,4621511.711224281
TLF1,GNN-oof-456,5.0,500.0,4960156.007969545
TLF1,Uni,10.0,100.0,10316517.153025845
TLF1,LU,10.0,100.0,10503349.690816581
TLF1,LU-soft,10.0,100.0,9902351.370656108
TLF1,Ref,10.0,100.0,3490381.5285230814
TLF1,GNN-oof-42,10.0,100.0,6793780.856898528
TLF1,GNN-oof-123,10.0,100.0,5652271.324208043
TLF1,GNN-oof-456,10.0,100.0,6303241.854007135
TLF1,Uni,10.0,300.0,19095866.014491983
TLF1,LU,10.0,300.0,19295739.344052266
TLF1,LU-soft,10.0,300.0,17472732.431680214
TLF1,Ref,10.0,300.0,5179227.761965959
TLF1,GNN-oof-42,10.0,300.0,11136602.833502224
TLF1,GNN-oof-123,10.0,300.0,9021574.717738902
TLF1,GNN-oof-456,10.0,300.0,10215940.228242688
TLF1,Uni,10.0,500.0,19551723.403649263
TLF1,LU,10.0,500.0,19740527.50098368
TLF1,LU-soft,10.0,500.0,17658733.43302186
TLF1,Ref,10.0,500.0,5179227.761965959
TLF1,GNN-oof-42,10.0,500.0,11183129.695225136
TLF1,GNN-oof-123,10.0,500.0,9026345.564977081
TLF1,GNN-oof-456,10.0,500.0,10225581.337610539
TLF1,Uni,20.0,100.0,12398351.624736346
TLF1,LU,20.0,100.0,12513831.085326998
TLF1,LU-soft,20.0,100.0,9183992.61391628
TLF1,Ref,20.0,100.0,1213662.1559238515
TLF1,GNN-oof-42,20.0,100.0,4612104.579208694
TLF1,GNN-oof-123,20.0,100.0,4562899.135482586
TLF1,GNN-oof-456,20.0,100.0,5916105.509384691
TLF1,Uni,20.0,300.0,21086299.731660087
TLF1,LU,20.0,300.0,21204728.312531713
TLF1,LU-soft,20.0,300.0,16458738.02043827
TLF1,Ref,20.0,300.0,4347701.219060506
TLF1,GNN-oof-42,20.0,300.0,11120511.556149552
TLF1,GNN-oof-123,20.0,300.0,10624634.635414988
TLF1,GNN-oof-456,20.0,300.0,12462196.164811518
TLF1,Uni,20.0,500.0,35661038.12429376
TLF1,LU,20.0,500.0,35848259.28328576
TLF1,LU-soft,20.0,500.0,29746775.914323375
TLF1,Ref,20.0,500.0,6832688.717315773
TLF1,GNN-oof-42,20.0,500.0,18984889.91585537
TLF1,GNN-oof-123,20.0,500.0,17011643.241106845
TLF1,GNN-oof-456,20.0,500.0,20142858.658351935
TLF2,Uni,5.0,100.0,6477458.379159077
TLF2,LU,5.0,100.0,6598348.3519353755
TLF2,LU-soft,5.0,100.0,6456346.081997267
TLF2,Ref,5.0,100.0,4382512.017102733
TLF2,GNN-oof-42,5.0,100.0,4505797.727668045
TLF2,GNN-oof-123,5.0,100.0,4713920.836134491
TLF2,GNN-oof-456,5.0,100.0,4571725.555535782
TLF2,Uni,5.0,300.0,7391530.389358057
TLF2,LU,5.0,300.0,7505294.361778753
TLF2,LU-soft,5.0,300.0,7167893.404274783
TLF2,Ref,5.0,300.0,4576940.69397061
TLF2,GNN-oof-42,5.0,300.0,4792861.800266293
TLF2,GNN-oof-123,5.0,300.0,5084202.136537295
TLF2,GNN-oof-456,5.0,300.0,4869522.092247708
TLF2,Uni,5.0,500.0,7391530.389358056
TLF2,LU,5.0,500.0,7505294.361778753
TLF2,LU-soft,5.0,500.0,7167893.404274783
TLF2,Ref,5.0,500.0,4576940.69397061
TLF2,GNN-oof-42,5.0,500.0,4792861.800266293
TLF2,GNN-oof-123,5.0,500.0,5084202.136537295
TLF2,GNN-oof-456,5.0,500.0,4869522.092247708
TLF2,Uni,10.0,100.0,10300432.658265904
TLF2,LU,10.0,100.0,10533714.456188494
TLF2,LU-soft,10.0,100.0,11574656.85978677
TLF2,Ref,10.0,100.0,4515470.243477013
TLF2,GNN-oof-42,10.0,100.0,6624995.17628332
TLF2,GNN-oof-123,10.0,100.0,6377513.191582152
TLF2,GNN-oof-456,10.0,100.0,6299863.498415914
TLF2,Uni,10.0,300.0,16325398.52906285
TLF2,LU,10.0,300.0,16720517.551780557
TLF2,LU-soft,10.0,300.0,17709517.656923957
TLF2,Ref,10.0,300.0,6095022.934088654
TLF2,GNN-oof-42,10.0,300.0,9327798.986205924
TLF2,GNN-oof-123,10.0,300.0,9406762.520608217
TLF2,GNN-oof-456,10.0,300.0,9026859.493793452
TLF2,Uni,10.0,500.0,16352259.227383643
