arm,region,seed,in_sample,corr,rmse,mae
UniP,TLE3,,False,-0.11807221635855834,8.982504448819505,6.132858100263945
UniNP,TLE3,,False,-0.029586928885633267,6.814941086093491,5.008905191840421
UniAddN,TLE3,,False,-0.19533877062360225,17.33637832120459,10.251931121832177
UniAddP,TLE3,,False,-0.1953387706236022,17.33637832120459,10.251931121832177
UniAddNP,TLE3,,False,-0.1953387706236022,17.33637832120459,10.251931121832177
GPM,TLE3,,False,-0.14545230962906538,15.573190950210515,8.971124315626774
GPMpostN,TLE3,,False,-0.10676526319216999,12.188428747384158,7.516160582953975
GPMpostP,TLE3,,False,0.022662045127841923,6.934918277977593,5.210231977063227
GPMpostNP,TLE3,,False,0.15135627285752104,5.641279099448997,4.49185675010781
GPMaddN,TLE3,,False,-0.05353828511583924,9.921018685257536,6.375020321114928
GPMaddP,TLE3,,False,-0.08759805100358534,9.944707600493661,6.288762185222124
GPMaddNP,TLE3,,False,-0.08555850870887277,10.17298647137203,6.252266721690711
Uni,TLD3,,False,0.012672834222050863,10.199783053314222,7.160517114819695
UniN,TLD3,,False,0.024283929539892803,8.942517708216029,6.355673973499611
UniP,TLD3,,False,0.04005800125892875,7.0404760875838575,5.251266941055643
UniNP,TLD3,,False,0.060572062836236604,6.18692512773958,4.581329661473234
UniAddN,TLD3,,False,0.012672834222050807,10.199783053314222,7.160517114819695
UniAddP,TLD3,,False,0.012672834222050787,10.199783053314222,7.160517114819695
UniAddNP,TLD3,,False,0.012672834222050787,10.199783053314222,7.160517114819695
GPM,TLD3,,False,0.01165366350780258,9.77212681734512,6.57397720067168
GPMpostN,TLD3,,False,0.0248726352772601,8.455340316882468,5.805594131188687
GPMpostP,TLD3,,False,0.03566793506293698,6.61927967657917,4.867909811427266
GPMpostNP,TLD3,,False,0.060574302006093914,5.87983441402627,4.3210169201794475
GPMaddN,TLD3,,False,0.04931833552538533,6.874118639547558,4.8761398001057845
GPMaddP,TLD3,,False,0.0284063370065036,6.870079106640573,4.946292808878521
GPMaddNP,TLD3,,False,0.034707451055308355,6.734532237434786,4.7695646960160465
Uni,TLD4,,False,-0.16337247675590652,11.53724266910517,8.158716147946977
UniN,TLD4,,False,-0.11164348540544375,9.846441876179052,7.072593829641146
UniP,TLD4,,False,-0.054976909454986005,6.948014261960371,5.472694293238087
UniNP,TLD4,,False,0.11142121240859933,5.350277959188455,4.203119418370073
UniAddN,TLD4,,False,-0.16337247675590644,11.537242669105169,8.158716147946977
UniAddP,TLD4,,False,-0.16337247675590644,11.537242669105169,8.158716147946977
UniAddNP,TLD4,,False,-0.16337247675590644,11.537242669105169,8.158716147946977
GPM,TLD4,,False,-0.1830803825677804,11.781318167485765,8.376575287941169
GPMpostN,TLD4,,False,-0.13409779476206543,9.970925483455911,7.224445532929154
GPMpostP,TLD4,,False,-0.0703924782613248,7.050389084381844,5.554124966026631
GPMpostNP,TLD4,,False,0.09421011209657632,5.447051904582501,4.29689803720098
GPMaddN,TLD4,,False,-0.1433550008920866,10.164169085394576,7.113055711803421
GPMaddP,TLD4,,False,-0.18856534918226184,10.482690448513216,7.516815668650012
GPMaddNP,TLD4,,False,-0.1775347741577475,10.497592726071153,7.438847155430193
GNN,London,42.0,False,0.5003106053590131,17.058093573641884,11.613259958585871
GNNonehot,London,42.0,False,0.46448555579811995,17.508744899981654,11.714846251144774
GNNfusion,London,42.0,False,0.38236917507786156,26.492918766657354,18.261179165654447
GNNpriorN,London,42.0,False,0.38657807431141367,19.727878782360772,13.686995846890452
GNNpriorP,London,42.0,False,0.4082125310132674,19.516331158557808,13.394094199882758
GNNpriorNP,London,42.0,False,0.467541520162974,18.213387610361238,12.350903505248233
MLP,London,42.0,False,0.4255701812289637,22.48436197350469,14.043601511250497
MLPfusion,London,42.0,False,0.29462022065358345,27.96566662946499,20.714553603518375
MLPpriorN,London,42.0,False,0.4666603804415438,19.68387029801938,12.690301116054561
MLPpriorP,London,42.0,False,0.47224797560428156,19.557436795970133,12.621612309811622
MLPpriorNP,London,42.0,False,0.4392964839748097,20.51623227662487,12.768098291373294
