country,region,arm,radius_km,dc_mw,eta,e_budget_mva,eps_max_mva,budget_realised,L_E,L_E_bound,L_S,L_S_bound,slack_E,slack_S,valid_E,valid_S
uk,London,LU-soft,20.0,100.0,0.5,762.5802795284089,474.8921785004841,True,41512.2864440369,27376116.98219731,0.0,5805004.3903170135,27334604.695753273,5805004.3903170135,True,True
uk,London,LU-soft,20.0,300.0,0.5,762.5802795284089,474.8921785004841,True,1381004.7537694792,41702678.82988562,0.0,23680447.54586018,40321674.07611614,23680447.54586018,True,True
uk,London,LU-soft,20.0,500.0,0.5,762.5802795284089,474.8921785004841,True,4249292.7854334,53762562.92234973,0.0,47819081.18231879,49513270.136916324,47819081.18231879,True,True
uk,London,LU-soft,20.0,100.0,0.8,896.3172788348194,474.8921785004841,True,41512.2864440369,37817966.43747638,0.0,17306386.330668323,37776454.15103234,17306386.330668323,True,True
uk,London,LU-soft,20.0,300.0,0.8,896.3172788348194,474.8921785004841,True,1381004.7537694792,53474728.5139307,0.0,39271154.092845745,52093723.76016122,39271154.092845745,True,True
uk,London,LU-soft,20.0,500.0,0.8,896.3172788348194,474.8921785004841,True,4249292.7854334,67035563.36938053,0.0,72221227.26056051,62786270.58394714,72221227.26056051,True,True
uk,London,LU-soft,20.0,100.0,0.9,971.7002288343483,474.8921785004841,True,41512.2864440369,44072056.627030715,0.0,24660842.096248657,44030544.34058668,24660842.096248657,True,True
uk,London,LU-soft,20.0,300.0,0.9,971.7002288343483,474.8921785004841,True,1381004.7537694792,60420909.94700156,0.0,49115224.29416256,59039905.19323208,49115224.29416256,True,True
uk,London,LU-soft,20.0,500.0,0.9,971.7002288343483,474.8921785004841,True,4249292.7854334,75016049.22169621,0.0,87555476.80530486,70766756.43626282,87555476.80530486,True,True
uk,London,LU-soft,20.0,100.0,1.0,1423.166140508007,474.8921785004841,True,41512.2864440369,88044519.34600168,0.0,98620647.81514154,88003007.05955765,98620647.81514154,True,True
uk,London,LU-soft,20.0,300.0,1.0,1423.166140508007,474.8921785004841,True,1381004.7537694792,109222150.72568454,0.0,142058845.263693,107841145.97191507,142058845.263693,True,True
uk,London,LU-soft,20.0,500.0,1.0,1423.166140508007,474.8921785004841,True,4249292.7854334,128045059.26349358,0.0,207788229.97375068,123795766.47806019,207788229.97375068,True,True
uk,London,Ref,20.0,100.0,0.5,360.3488323037696,183.33371548624905,True,0.0,2807184.0217985,0.0,0.0,2807184.0217985,0.0,True,True
uk,London,Ref,20.0,300.0,0.5,360.3488323037696,183.33371548624905,True,184548.487983164,9391883.721136972,0.0,0.0,9207335.233153809,0.0,True,True
uk,London,Ref,20.0,500.0,0.5,360.3488323037696,183.33371548624905,True,844762.862277876,16787701.97106255,0.0,3395148.290125166,15942939.108784672,3395148.290125166,True,True
uk,London,Ref,20.0,100.0,0.8,433.1151373764049,183.33371548624905,True,0.0,4816587.172588011,0.0,0.0,4816587.172588011,0.0,True,True
uk,London,Ref,20.0,300.0,0.8,433.1151373764049,183.33371548624905,True,184548.487983164,12987857.011238223,0.0,0.0,12803308.52325506,0.0,True,True
uk,London,Ref,20.0,500.0,0.8,433.1151373764049,183.33371548624905,True,844762.862277876,21896130.584119394,0.0,9187794.8531627,21051367.721841518,9187794.8531627,True,True
uk,London,Ref,20.0,100.0,0.9,516.6707581175402,183.33371548624905,True,0.0,7816780.9422190515,0.0,0.0,7816780.9422190515,0.0,True,True
uk,London,Ref,20.0,300.0,0.9,516.6707581175402,183.33371548624905,True,184548.487983164,17495348.69156626,0.0,1516991.100117299,17310800.203583095,1516991.100117299,True,True
uk,London,Ref,20.0,500.0,0.9,516.6707581175402,183.33371548624905,True,844762.862277876,28304886.298888825,0.0,16373578.236900324,27460123.43661095,16373578.236900324,True,True
