signal,seed,location,fold,source_idx,itl3,n_edges,n_off,off_frac,aux_mass_v_sum,valid,G_all,G_off,ratio_off,min_w,n_w_below_floor,n_off_gradient_gated,max_t_off
ntl,42,TLH3,fold3,5,TLH37,4511,3456,0.7661272445134116,2379.2178925467015,True,2066.76983719721,18.342951795271787,0.008875178776630032,2.5829950800471124e-07,0,0,1e-08
prox,42,TLH3,fold3,0,TLH31,580,191,0.3293103448275862,714.2863813417531,True,669.3934560995921,0.3909019288406545,0.0005839643714450896,1.086155293705815e-06,0,0,1e-08
prox,42,TLH3,fold3,1,TLH32,2282,1592,0.6976336546888694,1324.8682041594936,True,1237.1513475419258,3.176104064854799,0.0025672720408584965,7.181820933510608e-07,0,0,1e-08
prox,42,TLH3,fold3,2,TLH34,18167,16562,0.9116529971927121,2756.9300190492568,True,4032.516981964834,171.80022326888243,0.042603719720771815,1.1133887767300621e-07,0,0,1e-08
prox,42,TLH3,fold3,3,TLH35,14298,13460,0.941390404252343,1323.5895926672135,True,2480.394253356826,42.67214611700232,0.017203775593034147,1.733661179059709e-07,0,0,1e-08
prox,42,TLH3,fold3,4,TLH36,12013,11011,0.9165903604428536,1903.983006310374,True,2542.38604285326,65.4149829006524,0.02572976007500368,1.6862931317973562e-07,0,0,1e-08
prox,42,TLH3,fold3,5,TLH37,4511,3456,0.7661272445134116,2162.815202062615,True,2126.6511412045506,18.342951795271787,0.008625275410654427,2.5829950800471124e-07,0,0,1e-08
ntl,42,TLJ1,fold4,0,TLJ11,11150,9574,0.8586547085201793,3445.4360460304083,True,4933.309318067804,641.3370362232171,0.13000138342722145,5.523907020688057e-08,0,0,1e-08
ntl,42,TLJ1,fold4,1,TLJ12,2792,2204,0.7893982808022922,1642.4319859895083,True,1710.123942541347,132.67350166475896,0.07758121991298371,8.643467275248895e-09,900,900,1e-08
ntl,42,TLJ1,fold4,2,TLJ13,14020,12813,0.9139087018544936,2127.135449710591,True,4131.597190528352,317.1165612523223,0.07675398801686405,4.304592238213445e-09,1343,1343,1e-08
ntl,42,TLJ1,fold4,3,TLJ14,23305,21810,0.9358506758206393,2710.175495975738,True,4846.345457877794,697.907918164201,0.14400705113370388,4.123976715675326e-09,6413,6413,1e-08
prox,42,TLJ1,fold4,0,TLJ11,11150,9574,0.8586547085201793,3430.7390153653323,True,5214.933401301495,641.3370362232171,0.12298086799404918,5.523907020688057e-08,0,0,1e-08
prox,42,TLJ1,fold4,1,TLJ12,2792,2204,0.7893982808022922,1254.202362738967,True,1770.4210468538633,132.67350166475896,0.07493895415473463,8.643467275248895e-09,900,900,1e-08
prox,42,TLJ1,fold4,2,TLJ13,14020,12813,0.9139087018544936,2482.272091782263,True,4378.639368682958,317.1165612523223,0.07242353949503431,4.304592238213445e-09,1343,1343,1e-08
prox,42,TLJ1,fold4,3,TLJ14,23305,21810,0.9358506758206393,2969.345866579201,True,5239.7848120042245,697.907918164201,0.1331940038005588,4.123976715675326e-09,6413,6413,1e-08
ntl,42,TLF1,fold3,0,TLF11,822,272,0.3309002433090024,1562.6774012566477,True,1712.176319627634,0.16218379513113712,9.472376955102908e-05,3.6581407130142907e-06,0,0,1e-08
ntl,42,TLF1,fold3,1,TLF12,5378,4625,0.8599851245816289,1505.476977928896,True,1772.4801157613474,94.81348840860943,0.05349198987650332,2.4448709723401407e-07,0,0,1e-08
ntl,42,TLF1,fold3,2,TLF13,21865,20592,0.9417790990166933,2457.663256417676,True,4792.02685241417,1832.1013140365699,0.38232283967974373,7.272470270436315e-08,0,0,1e-08
ntl,42,TLF1,fold3,3,TLF14,793,262,0.33039092055485497,1610.9908994972138,True,1427.7919036501007,0.07627375297042516,5.342077705822112e-05,6.052618118701503e-06,0,0,1e-08
ntl,42,TLF1,fold3,4,TLF15,15796,14370,0.9097239807546215,3010.1489700559637,True,4039.722883688372,545.1698892746406,0.13495229870245118,9.664006483944831e-08,0,0,1e-08
ntl,42,TLF1,fold3,5,TLF16,6435,5514,0.8568764568764569,1969.2422909138443,True,1817.4062538669186,76.40295750214129,0.04203955903616912,2.7917326406168286e-07,0,0,1e-08
prox,42,TLF1,fold3,0,TLF11,822,272,0.3309002433090024,1199.3212696080498,True,1801.0180791467474,0.16218379513113712,9.005117550400911e-05,3.6581407130142907e-06,0,0,1e-08
prox,42,TLF1,fold3,1,TLF12,5378,4625,0.8599851245816289,1647.7524668843303,True,1882.4342048364442,94.81348840860943,0.05036749128602204,2.4448709723401407e-07,0,0,1e-08
prox,42,TLF1,fold3,2,TLF13,21865,20592,0.9417790990166933,2531.982083700554,True,4985.311178750282,1832.1013140365699,0.36749989084850687,7.272470270436315e-08,0,0,1e-08
prox,42,TLF1,fold3,3,TLF14,793,262,0.33039092055485497,1321.8533031787144,True,1455.062108915552,0.07627375297042516,5.241958573663324e-05,6.052618118701503e-06,0,0,1e-08
prox,42,TLF1,fold3,4,TLF15,15796,14370,0.9097239807546215,3014.572636621953,True,4249.153449119367,545.1698892746406,0.12830082410594668,9.664006483944831e-08,0,0,1e-08
prox,42,TLF1,fold3,5,TLF16,6435,5514,0.8568764568764569,2079.6099624814838,True,1871.634440284794,76.40295750214129,0.04082151720317541,2.7917326406168286e-07,0,0,1e-08
